2024-08-01 15:14:22,093 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Configure stats pid to 27940
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Loading settings from /Users/mmuhleth/.config/wandb/settings
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Loading settings from /Users/mmuhleth/Desktop/diffusion_graph/wandb/settings
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_ppgn_simple.py', 'program': '/Users/mmuhleth/Desktop/diffusion_graph/train_ppgn_simple.py'}
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_init.py:_log_setup():507] Logging user logs to /Users/mmuhleth/Desktop/diffusion_graph/wandb/run-20240801_151422-dny5lmg8/logs/debug.log
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/mmuhleth/Desktop/diffusion_graph/wandb/run-20240801_151422-dny5lmg8/logs/debug-internal.log
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_init.py:init():547] calling init triggers
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_init.py:init():596] starting backend
2024-08-01 15:14:22,094 INFO    MainThread:27940 [wandb_init.py:init():600] setting up manager
2024-08-01 15:14:22,099 INFO    MainThread:27940 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-08-01 15:14:22,102 INFO    MainThread:27940 [wandb_init.py:init():606] backend started and connected
2024-08-01 15:14:22,105 INFO    MainThread:27940 [wandb_init.py:init():703] updated telemetry
2024-08-01 15:14:22,105 INFO    MainThread:27940 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2024-08-01 15:14:24,732 INFO    MainThread:27940 [wandb_run.py:_on_init():2176] communicating current version
2024-08-01 15:14:24,807 INFO    MainThread:27940 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-08-01 15:14:24,807 INFO    MainThread:27940 [wandb_init.py:init():787] starting run threads in backend
2024-08-01 15:14:25,996 INFO    MainThread:27940 [wandb_run.py:_console_start():2155] atexit reg
2024-08-01 15:14:25,996 INFO    MainThread:27940 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2024-08-01 15:14:25,996 INFO    MainThread:27940 [wandb_run.py:_redirect():2075] Wrapping output streams.
2024-08-01 15:14:25,996 INFO    MainThread:27940 [wandb_run.py:_redirect():2100] Redirects installed.
2024-08-01 15:14:25,997 INFO    MainThread:27940 [wandb_init.py:init():828] run started, returning control to user process
2024-08-01 15:25:21,817 INFO    MainThread:27940 [wandb_run.py:_finish():1890] finishing run maxime-muhlethaler-Inria/diffusion_graph/dny5lmg8
2024-08-01 15:25:21,818 INFO    MainThread:27940 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2024-08-01 15:25:21,818 INFO    MainThread:27940 [wandb_run.py:_restore():2107] restore
2024-08-01 15:25:21,818 INFO    MainThread:27940 [wandb_run.py:_restore():2113] restore done
2024-08-01 15:25:29,971 INFO    MainThread:27940 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2024-08-01 15:25:29,972 INFO    MainThread:27940 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2024-08-01 15:25:29,978 INFO    MainThread:27940 [wandb_run.py:_footer_sync_info():3426] logging synced files
